char,count,percentage
E,13700,11.842196251988106
O,10874,9.399419127307931
T,10210,8.825461586335662
A,8920,7.7103934720973655
I,8449,7.303263951317336
S,7658,6.619528386695249
H,7337,6.342057948966184
N,7201,6.2245003803333105
R,6176,5.338496646151718
L,5318,4.5968466911002
D,4724,4.083396722218381
U,3581,3.09539450937003
M,3565,3.0815642071779266
Y,2724,2.3546089482055184
W,2551,2.2050688057534056
C,2415,2.087511237120531
F,2273,1.964767305165618
G,2208,1.9085817025101999
B,1658,1.4331650646566627
P,1544,1.3346241615379295
V,1296,1.1202544775603347
K,979,0.846241615379296
X,136,0.11755756863287463
J,87,0.07520226816955951
Q,72,0.06223635986446304
Z,28,0.02420302883618007
1,1,0.0008643938870064311
6,1,0.0008643938870064311
0,1,0.0008643938870064311
5,1,0.0008643938870064311
