char,count,percentage
E,22006,15.360453428635246
S,11502,8.028534733080187
O,10218,7.132287245923609
A,9974,6.961972302881393
I,9835,6.864948626312263
N,9458,6.6017980790708055
U,8987,6.273034398034398
R,8977,6.266054277417914
T,8890,6.205327228054501
L,7666,5.350960464596828
M,4892,3.4146750055840966
D,4646,3.242964038418584
C,4362,3.044728612910431
Ã,4359,3.0426345767254857
P,3480,2.42908197453652
V,2965,2.0696057627875812
Q,1875,1.3087726155907975
J,1690,1.1796403841858387
G,1632,1.13915568461023
H,1595,1.1133292383292384
F,1429,0.9974592360955997
B,1270,0.8864753182935001
Z,628,0.43835157471521113
X,422,0.29456109001563546
Y,313,0.2184777752959571
§,55,0.03839066339066339
1,25,0.017450301541210633
K,20,0.013960241232968506
2,19,0.013262229171320082
W,18,0.012564217109671654
Â,14,0.009772168863077954
3,7,0.004886084431538977
4,6,0.0041880723698905515
5,6,0.0041880723698905515
6,4,0.0027920482465937013
7,4,0.0027920482465937013
8,4,0.0027920482465937013
9,4,0.0027920482465937013
0,4,0.0027920482465937013
Š,3,0.0020940361849452757
