char,count,percentage
E,25145,16.1841563256269
N,14708,9.466556819937182
I,13212,8.503681581792904
S,9848,6.338499562329438
R,9645,6.207842026672159
H,9597,6.176947634004428
T,8501,5.471525668091242
A,8280,5.329282735183565
D,7023,4.5202358271973635
L,6104,3.928736934246434
U,5616,3.6146439421245042
C,5471,3.521317130940734
O,5314,3.420266721590032
G,4819,3.1016682972040575
M,4641,2.9871015910612226
B,3042,1.95793213531744
W,2954,1.9012924154266
Ã,2601,1.6740899026826632
F,2054,1.3220225529066476
Z,1522,0.9796097008392978
K,1387,0.8927192214613048
V,1177,0.7575562535399826
Ÿ,678,0.43638329643169765
J,543,0.3494928170537048
P,527,0.33919468616446113
Y,513,0.330183821636373
¶,396,0.25487873950877915
Q,22,0.014159929972709954
X,12,0.007723598166932702
1,9,0.0057926986251995265
3,3,0.0019308995417331755
Œ,2,0.0012872663611554504
2,2,0.0012872663611554504
