char,count
 ,26815
!,666
',1912
(,206
),206
,,2466
-,3651
.,3258
0,4
1,25
2,19
3,7
4,6
5,6
6,4
7,4
8,4
9,4
:,254
;,472
?,474
A,1085
B,163
C,662
D,654
E,962
F,101
G,390
H,335
I,777
J,657
L,904
M,579
N,484
O,1803
P,110
Q,216
R,352
S,639
T,481
U,125
V,194
W,2
X,5
Y,3
[,48
],48
_,400
a,8889
b,1107
c,3700
d,3992
e,21044
f,1328
g,1242
h,1260
i,9058
j,1033
k,20
l,6762
m,4313
n,8974
o,8415
p,3370
q,1659
r,8625
s,10863
t,8409
u,8862
v,2771
w,16
x,417
y,310
z,628
 ,639
¢,137
§,55
¨,338
©,2138
ª,336
«,8
®,108
¯,8
´,76
¹,55
»,89
Â,14
Ã,4359
Š,3
ˆ,28
‰,355
