char,count
W,2
Y,3
Š,3
6,4
7,4
8,4
9,4
0,4
X,5
4,6
5,6
3,7
¯,8
«,8
Â,14
w,16
2,19
k,20
1,25
ˆ,28
[,48
],48
§,55
¹,55
´,76
»,89
F,101
®,108
P,110
U,125
¢,137
B,163
V,194
(,206
),206
Q,216
:,254
y,310
H,335
ª,336
¨,338
R,352
‰,355
G,390
_,400
x,417
;,472
?,474
T,481
N,484
M,579
z,628
S,639
 ,639
D,654
J,657
C,662
!,666
I,777
L,904
E,962
j,1033
A,1085
b,1107
g,1242
h,1260
f,1328
q,1659
O,1803
',1912
©,2138
,,2466
v,2771
.,3258
p,3370
-,3651
c,3700
d,3992
m,4313
Ã,4359
l,6762
t,8409
o,8415
r,8625
u,8862
a,8889
n,8974
i,9058
s,10863
e,21044
 ,26815
