char,count,percentage
E,84.4,5.034597947983775
O,83.3,4.968981150083512
T,82.8,4.93915533285612
A,81.2,4.843712717728465
I,79.4,4.736339775709855
S,78.7,4.694583631591506
H,77.9,4.646862324027678
N,77.5,4.623001670245765
R,74.7,4.455977093772369
D,73.7,4.396325459317586
L,73.6,4.390360295872107
M,70.2,4.187544738725841
U,69.5,4.145788594607492
Y,67.7,4.038415652588881
W,67.0,3.996659508470532
C,65.7,3.919112383679313
G,65.4,3.9012168933428777
F,64.6,3.8534955857790503
B,60.9,3.6327845382963493
P,59.6,3.55523741350513
V,57.0,3.4001431639226913
K,54.5,3.2510140777857313
X,32.2,1.9207826294440469
J,28.1,1.6762109281794322
Q,26.0,1.5509424958243856
Z,16.8,1.0021474588403723
6,1.0,0.05965163445478406
0,1.0,0.05965163445478406
5,1.0,0.05965163445478406
1,1.0,0.05965163445478406
