char,count,percentage
E,531.9,5.627023252861647
S,473.2,5.006030086960202
O,463.1,4.899181177665405
A,462.1,4.888602077735226
I,461.8,4.885428347756173
N,460.1,4.86744387787487
T,456.5,4.82935911812623
R,456.2,4.826185388147176
U,452.2,4.783868988426464
L,440.6,4.6611514292364005
M,401.4,4.246450711973425
D,391.0,4.136428072699575
C,389.0,4.115269872839219
Ã,387.6,4.10045913293697
P,364.2,3.852908194570806
V,350.2,3.7048007955483144
Q,308.6,3.264710238452912
J,304.0,3.2160463787740943
H,296.3,3.134587309311724
G,294.0,3.1102553794723145
F,282.1,2.984364090303197
B,276.2,2.921947400715147
Z,217.1,2.296722594841631
X,182.5,1.9306857372574742
Y,157.7,1.668324058989061
§,55.0,0.5818504961597867
1,25.0,0.2644774982544485
K,20.0,0.2115819986035588
2,19.0,0.2010028986733809
W,18.0,0.19042379874320292
Â,14.0,0.14810739902249118
3,7.0,0.07405369951124559
5,6.0,0.06347459958106764
4,6.0,0.06347459958106764
8,4.0,0.04231639972071176
6,4.0,0.04231639972071176
0,4.0,0.04231639972071176
7,4.0,0.04231639972071176
9,4.0,0.04231639972071176
Š,3.0,0.03173729979053382
