char,count,percentage
E,547.6,5.511604968093887
N,498.3,5.015399480644966
I,488.0,4.911729774342251
S,464.7,4.677214807657467
R,461.4,4.644000241560481
H,455.4,4.583610121384141
T,452.5,4.554421563298911
A,449.1,4.520200495198985
D,428.1,4.308835074581798
L,417.3,4.200132858264388
U,406.6,4.092437143949916
O,404.9,4.075326609899953
C,403.6,4.062242083861746
G,395.0,3.9756829116089945
M,392.5,3.9505203615355193
B,355.5,3.5781146204480945
W,351.1,3.5338285323187795
Ã,339.9,3.421100307989613
F,322.4,3.24496245747529
Z,292.5,2.9440183585965336
K,283.0,2.8484006683173297
V,267.1,2.6883668498500315
Ÿ,223.3,2.2475189725627556
J,202.9,2.0421925639632024
Y,200.8,2.0210560219014835
P,200.2,2.01501700988385
¶,181.7,1.8288141393401371
Q,22.0,0.22143044064657688
X,12.0,0.1207802403526783
1,9.0,0.09058518026450872
3,3.0,0.030195060088169575
2,2.0,0.020130040058779716
Œ,2.0,0.020130040058779716
